Rinkimai,Sąrašas,Porinkiminis nr sąraše ,"Vardas, pavardė ","Vardas, Pavarde (be ""(V)"")",Priešrinkiminis nr sąraše ,Pirmumo balsai,Reitingo balai
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",4,RIČARDAS ČEKUTIS ,RIČARDAS ČEKUTIS ,5,866,866
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",5,GEDIMINAS NAVAITIS ,GEDIMINAS NAVAITIS ,3,812,812
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",6,AUŠRYS KRIŠČIŪNAS ,AUŠRYS KRIŠČIŪNAS ,6,600,600
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",7,ALGIRDAS ENDRIUKAITIS ,ALGIRDAS ENDRIUKAITIS ,7,351,351
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",8,VYTAUTAS MIKĖNAS ,VYTAUTAS MIKĖNAS ,8,280,280
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",9,VILMA ČEKUTIENĖ ,VILMA ČEKUTIENĖ ,13,274,274
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",10,GINTARAS ŠLEŽAS ,GINTARAS ŠLEŽAS ,9,271,271
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",11,TOMAS BARANAUSKAS ,TOMAS BARANAUSKAS ,15,265,265
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",12,SAKALAS GORODECKIS ,SAKALAS GORODECKIS ,11,262,262
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",13,MARIUS KUNDROTAS ,MARIUS KUNDROTAS ,17,253,253
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",14,SIMONA KUPRATĖ ,SIMONA KUPRATĖ ,12,249,249
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",15,KAZIMIERAS BARTKEVIČIUS ,KAZIMIERAS BARTKEVIČIUS ,10,184,184
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",16,VITALIJA MAŽONIENĖ ,VITALIJA MAŽONIENĖ ,66,159,159
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",17,MARIUS ŠILEIKA ,MARIUS ŠILEIKA ,21,158,158
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",18,RAMŪNAS VALATKA ,RAMŪNAS VALATKA ,33,148,148
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",19,TOMAS ŠVILPAUSKAS ,TOMAS ŠVILPAUSKAS ,14,142,142
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",20,DONATA VAIČYTĖ-MARTINKIENĖ ,DONATA VAIČYTĖ-MARTINKIENĖ ,20,128,128
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",21,VLADAS TUMĖNAS ,VLADAS TUMĖNAS ,38,121,121
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",22,SAULĖ BUŠKEVIČIŪTĖ ,SAULĖ BUŠKEVIČIŪTĖ ,54,120,120
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",23,ILONA SUTKEVIČIŪTĖ ,ILONA SUTKEVIČIŪTĖ ,16,117,117
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",24,KAROLIS RAGUOTIS ,KAROLIS RAGUOTIS ,65,109,109
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",25,RIČARDAS GARUOLIS ,RIČARDAS GARUOLIS ,19,104,104
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",26,ARŪNAS EIGIRDAS ,ARŪNAS EIGIRDAS ,25,100,100
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",27,NERINGA KALPOKAITĖ ,NERINGA KALPOKAITĖ ,48,99,99
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",28,MIRETA LINGEVIČIŪTĖ ,MIRETA LINGEVIČIŪTĖ ,26,95,95
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",29,TOMAS SKORUPSKIS ,TOMAS SKORUPSKIS ,29,92,92
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",30,GABRIELĖ LAPKOVSKYTĖ ,GABRIELĖ LAPKOVSKYTĖ ,40,92,92
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",31,MARIJUS ŠIRVAITIS ,MARIJUS ŠIRVAITIS ,18,85,85
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",32,ROMAS SURVILA ,ROMAS SURVILA ,30,80,80
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",33,RIMA LAIMIKIENĖ ,RIMA LAIMIKIENĖ ,27,78,78
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",34,JUOZAS BAJORAS ,JUOZAS BAJORAS ,24,73,73
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",35,SAULIUS PETKEVIČIUS ,SAULIUS PETKEVIČIUS ,43,72,72
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",36,VYTAUTAS STEPAS ,VYTAUTAS STEPAS ,39,71,71
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",37,ANTANAS MALEVIČIUS ,ANTANAS MALEVIČIUS ,22,43,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",38,ALFONSAS LUPEIKIS ,ALFONSAS LUPEIKIS ,23,51,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",39,DAIVA KRŪMINIENĖ ,DAIVA KRŪMINIENĖ ,28,43,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",40,REIMUNDAS VARAPICKAS ,REIMUNDAS VARAPICKAS ,31,44,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",41,KRISTINA BAKĖ ,KRISTINA BAKĖ ,32,66,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",42,JŪRATĖ APOLIANSKIENĖ ,JŪRATĖ APOLIANSKIENĖ ,34,39,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",43,VLADAS TURČINAVIČIUS ,VLADAS TURČINAVIČIUS ,35,39,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",44,GENUTĖ KASTANTINAVIČIENĖ ,GENUTĖ KASTANTINAVIČIENĖ ,36,41,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",45,ALGIMANTAS SABALIAUSKAS ,ALGIMANTAS SABALIAUSKAS ,37,63,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",46,MARIJUS ČEKAVIČIUS ,MARIJUS ČEKAVIČIUS ,41,66,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",47,KAROLIS ŠLIVINSKAS ,KAROLIS ŠLIVINSKAS ,44,34,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",48,SAULIUS KULVIČIUS ,SAULIUS KULVIČIUS ,45,30,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",49,MAKSIMAS TARASOVAS ,MAKSIMAS TARASOVAS ,46,20,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",50,EUGENIJUS DEGUTIS ,EUGENIJUS DEGUTIS ,47,58,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",51,REDAS JABLONSKIS ,REDAS JABLONSKIS ,49,44,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",52,IRENA SATKAUSKIENĖ ,IRENA SATKAUSKIENĖ ,50,46,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",53,ŽILVINAS PRANAUSKAS ,ŽILVINAS PRANAUSKAS ,51,23,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",54,DŽIULJETA MIRONAITĖ ,DŽIULJETA MIRONAITĖ ,52,58,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",55,VILIJA ŠILEIKIENĖ ,VILIJA ŠILEIKIENĖ ,53,39,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",56,ARŪNAS MAKAUSKAS ,ARŪNAS MAKAUSKAS ,55,50,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",57,VILIUS TUMALAVIČIUS ,VILIUS TUMALAVIČIUS ,56,24,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",58,GINTARAS SVETLAVIČIUS ,GINTARAS SVETLAVIČIUS ,57,14,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",59,STEPONAS RIMKUS ,STEPONAS RIMKUS ,58,65,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",60,VALDAS LADAVIČIUS ,VALDAS LADAVIČIUS ,59,16,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",61,LIUDA VANDA POTAPENKO ,LIUDA VANDA POTAPENKO ,61,22,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",62,VIDAS SKINDERSKIS ,VIDAS SKINDERSKIS ,62,47,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",63,ROMUALDAS JUOZAS TUNAITIS ,ROMUALDAS JUOZAS TUNAITIS ,63,52,0
2016 Seimo rinkimai,"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)",64,SIMONAS BIZEVIČIUS ,SIMONAS BIZEVIČIUS ,64,56,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,1,JONAS VARKALA ,JONAS VARKALA ,1,1002,1002
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,2,AUDRONĖ SKUČIENĖ ,AUDRONĖ SKUČIENĖ ,2,785,785
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,3,EINARAS VILDĖ ,EINARAS VILDĖ ,3,496,496
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,4,IRENIJUS ZALECKIS ,IRENIJUS ZALECKIS ,5,451,451
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,5,ARŪNAS BANAITIS ,ARŪNAS BANAITIS ,9,271,271
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,6,RAIMUNDAS ČIEGIS ,RAIMUNDAS ČIEGIS ,7,248,248
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,7,MYKOLAS KAČINSKAS ,MYKOLAS KAČINSKAS ,6,216,216
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,8,RENALDAS ŠČIGLINSKAS ,RENALDAS ŠČIGLINSKAS ,17,199,199
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,9,VYTAUTAS PEČIŪRA ,VYTAUTAS PEČIŪRA ,10,167,167
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,10,JŪRATĖ GAUČIENĖ ,JŪRATĖ GAUČIENĖ ,13,153,153
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,11,EDMUNDAS LIMANTAS ,EDMUNDAS LIMANTAS ,8,144,144
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,12,BIRUTĖ DILPŠIENĖ ,BIRUTĖ DILPŠIENĖ ,18,123,123
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,13,AUDRONĖ KLIMAVIČIENĖ ,AUDRONĖ KLIMAVIČIENĖ ,14,106,106
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,14,ROMALDAS DRIGOTAS ,ROMALDAS DRIGOTAS ,33,100,100
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,15,VIDA VAIVA ARMONIENĖ ,VIDA VAIVA ARMONIENĖ ,32,86,86
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,16,RIMANTAS PETRIKAS ,RIMANTAS PETRIKAS ,11,85,85
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,17,DARIUS KAMINICKAS ,DARIUS KAMINICKAS ,15,81,81
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,18,ALGIRDAS GRIKŠAS ,ALGIRDAS GRIKŠAS ,27,72,72
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,19,GINTAUTAS AUGUSTAITIS ,GINTAUTAS AUGUSTAITIS ,12,70,70
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,20,VYTAUTAS JANKAUSKAS ,VYTAUTAS JANKAUSKAS ,16,64,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,21,RENATAS GUDZEVIČIUS ,RENATAS GUDZEVIČIUS ,19,43,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,22,VAIDAS SĖLENIS ,VAIDAS SĖLENIS ,20,48,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,23,RYTIS GAUČYS ,RYTIS GAUČYS ,21,59,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,24,EVELINA BANIULIENĖ ,EVELINA BANIULIENĖ ,22,58,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,25,GĖLSINA CHAMATOVA ,GĖLSINA CHAMATOVA ,23,62,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,26,VALDAS FILIPONIS ,VALDAS FILIPONIS ,24,48,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,27,DONATAS FIRSOVAS ,DONATAS FIRSOVAS ,25,35,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,28,VIRGINIJUS GIRUTIS ,VIRGINIJUS GIRUTIS ,26,30,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,29,DONATA LINIAUSKIENĖ ,DONATA LINIAUSKIENĖ ,28,52,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,30,NERINGA BALIUKONIENĖ ,NERINGA BALIUKONIENĖ ,29,45,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,31,DŽENETA MARKAUSKAITĖ ,DŽENETA MARKAUSKAITĖ ,30,49,0
2016 Seimo rinkimai,„Drąsos kelias“ politinė partija,32,ZETA ŠTARKEVIČIENĖ ,ZETA ŠTARKEVIČIENĖ ,31,46,0
